Epoch :166	 Loss:0.207313	 Accuracy:493.750 OA:74.22	 AA:83.96
Epoch :167	 Loss:0.175916	 Accuracy:493.750 OA:74.24	 AA:83.94
Epoch :168	 Loss:0.307513	 Accuracy:493.750 OA:74.26	 AA:83.89
Epoch :169	 Loss:0.337010	 Accuracy:493.750 OA:74.31	 AA:83.88
Epoch :170	 Loss:0.405863	 Accuracy:493.750 OA:74.28	 AA:83.81
Epoch :171	 Loss:0.255656	 Accuracy:493.750 OA:74.32	 AA:83.84
Epoch :172	 Loss:0.263498	 Accuracy:493.750 OA:74.44	 AA:83.96
Epoch :173	 Loss:0.209947	 Accuracy:493.750 OA:74.48	 AA:84.08
Epoch :174	 Loss:0.216450	 Accuracy:493.750 OA:74.32	 AA:84.04
Epoch :175	 Loss:0.152274	 Accuracy:493.750 OA:74.08	 AA:83.95
Epoch :176	 Loss:0.259472	 Accuracy:493.750 OA:73.82	 AA:83.99
Epoch :177	 Loss:0.190158	 Accuracy:493.750 OA:74.19	 AA:84.04
Epoch :178	 Loss:0.366593	 Accuracy:500.000 OA:74.06	 AA:84.05
Epoch :179	 Loss:0.230769	 Accuracy:493.750 OA:74.24	 AA:84.07
Epoch :180	 Loss:0.234609	 Accuracy:493.750 OA:74.26	 AA:84.09
Epoch :181	 Loss:0.194354	 Accuracy:493.750 OA:74.29	 AA:84.05
Epoch :182	 Loss:0.208590	 Accuracy:493.750 OA:74.54	 AA:84.19
Epoch :183	 Loss:0.184618	 Accuracy:493.750 OA:74.57	 AA:84.14
Epoch :184	 Loss:0.300804	 Accuracy:493.750 OA:74.66	 AA:84.38
Epoch :185	 Loss:0.263351	 Accuracy:493.750 OA:74.55	 AA:84.37
Epoch :186	 Loss:0.205283	 Accuracy:493.750 OA:74.47	 AA:84.40
Epoch :187	 Loss:0.241538	 Accuracy:493.750 OA:74.66	 AA:84.45
Epoch :188	 Loss:0.216688	 Accuracy:493.750 OA:74.51	 AA:84.41
Epoch :189	 Loss:0.232865	 Accuracy:493.750 OA:74.75	 AA:84.48
Epoch :190	 Loss:0.209280	 Accuracy:493.750 OA:74.58	 AA:84.31
Epoch :191	 Loss:0.259059	 Accuracy:493.750 OA:74.40	 AA:84.27
Epoch :192	 Loss:0.182691	 Accuracy:493.750 OA:74.28	 AA:84.17
Epoch :193	 Loss:0.255303	 Accuracy:493.750 OA:74.34	 AA:84.22
Epoch :194	 Loss:0.198932	 Accuracy:493.750 OA:74.33	 AA:84.21
Epoch :195	 Loss:0.166480	 Accuracy:493.750 OA:74.43	 AA:84.17
Epoch :196	 Loss:0.233223	 Accuracy:493.750 OA:74.52	 AA:84.22
Epoch :197	 Loss:0.328001	 Accuracy:500.000 OA:74.74	 AA:84.32
